MaterialCode,MaterialDescription,Presentation,Retornability,ProductType,Brand,Packaging,Category,Flavor,Container,Size,DetailedSegment,NonCarbonated,BottlesBySKU,BasisMaterialCode,CUEquivalence,ConsumptionOccasion,EAN,ISSCOM
"17069","SPRITE LS 600ML NR 12PET      ","SPRITE 600 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","SPRITE","600 ML PET","REFRESCOS","LIMA LIMON","PET","INDIVIDUAL","SSD",False,12,"2317",1.2680000000000096,"GASEOSA LOW CAL INDIVIDUAL ","7790895007439","AC9D053823"
"8068","SODA AYBAL 500*15 VR          ","AYBAL 500 ML RETORNABLE","RETORNABLE","AGUA PURIFICADA","AYBAL","500 ML RET VIDRIO","AGUA PURIFICADA","CON GAS","RET VIDRIO","INDIVIDUAL","PW",False,15,"2815",1.3209000004954428,"AGUA PLENA REGULAR INDIVIDUAL RETORNABLE","7790895007507","5569052121"
"9934","COCA-COLA S/AZUCAR 375*6 PET  ","COCA COLA SIN AZUCAR 375 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","COCA COLA SIN AZUCAR","375 ML PET","REFRESCOS","COLA","PET","INDIVIDUAL","SSD",False,6,"668",0.39630000000001264,"GASEOSA LOW CAL INDIVIDUAL ","7790895008108","ABBA05A2SD"
"8198","AQUARIUS LIMONADA 0,5L*12PET  ","AQUARIUS 500 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","AQUARIUS","500 ML PET","CATEGORÍAS EN EXPANSIÓN","LIMON","PET","INDIVIDUAL","FW",True,12,"4214",1.0566999999873248,"AGUA SABORIZADA REGULAR INDIVIDUAL ","7790895008481","A9Q6053702"
"8199","AQUARIUS LIMONADA 1,5L*6 PET  ","AQUARIUS 1500 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","AQUARIUS","1500 ML PET","CATEGORÍAS EN EXPANSIÓN","LIMON","PET","FAMILIAR","FW",True,6,"4226",1.5850000005816711,"AGUA SABORIZADA REGULAR FAMILIAR ","7790895008498","A9Q6053682"
"8200","AQUARIUS LIMONADA 2,25L*6 PET ","AQUARIUS 2250 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","AQUARIUS","2250 ML PET","CATEGORÍAS EN EXPANSIÓN","LIMON","PET","FAMILIAR","FW",True,6,"4236",2.3776000001136328,"AGUA SABORIZADA REGULAR FAMILIAR ","7790895008504","A9Q6053684"
"8422","CEPITA NARANJA 1.0L*6PET      ","CEPITA 1000 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","CEPITA","1000 ML PET","CATEGORÍAS EN EXPANSIÓN","NARANJA","PET","FAMILIAR","RTD",True,6,"3850",1.0567000000000051,"JUGO REGULAR FAMILIAR ","7790895009815","A4DG053752"
"8423","CEPITA DURAZNO 1.0L*6PET      ","CEPITA 1000 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","CEPITA","1000 ML PET","CATEGORÍAS EN EXPANSIÓN","DURAZNO","PET","FAMILIAR","RTD",True,6,"3852",1.0567000000000186,"JUGO REGULAR FAMILIAR ","7790895009846","A5PR053752"
"8299","POWERADE POMELO ZERO 0,5*6 PET","POWERADE 500 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","POWERADE","500 ML PET","CATEGORÍAS EN EXPANSIÓN","POMELO","PET","INDIVIDUAL","ISO",True,6,"4065",0.52839999999999998,"ISOTONICO LOW CAL INDIVIDUAL ","7790895010033","AAHW054193"
"17009","SCHWEPPES POMELO S/A 600*6P   ","SCHWEPPES 600 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","SCHWEPPES","600 ML PET","REFRESCOS","POMELO","PET","INDIVIDUAL","SSD",False,6,"3034",0.63429999999999997,"GASEOSA LOW CAL INDIVIDUAL ","7790895010071","AC20055343"
"8337","SCHWEPPES POMELO ZERO 2250*6P ","SCHWEPPES 2250 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","SCHWEPPES","2250 ML PET","REFRESCOS","POMELO","PET","FAMILIAR","SSD",False,6,"3032",2.3775999999999895,"GASEOSA LOW CAL FAMILIAR ","7790895010095","AC20053688"
"4583","SCHWEPPES POM S/AZ 354*6 LAT  ","SCHWEPPES SIN AZUCAR 354 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","SCHWEPPES SIN AZUCAR","354 ML LATA","REFRESCOS","POMELO","LATA","INDIVIDUAL","SSD",False,6,"3033",0.37400000000000005,"GASEOSA LOW CAL INDIVIDUAL ","7790895010101","AC20053974"
"8379","SPRITE S/AZUCAR 3000*6 PSW    ","SPRITE SIN AZUCAR 3000 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","SPRITE SIN AZUCAR","3000 ML PET","REFRESCOS","LIMA LIMON","PET","FAMILIAR","SSD",False,6,"2122",3.1701000000000015,"GASEOSA LOW CAL FAMILIAR ","7790895011474","ABL7056812"
"17052","FANTA NARANJA 375*12 PET      ","FANTA 375 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","FANTA","375 ML PET","REFRESCOS","NARANJA","PET","INDIVIDUAL","SSD",False,12,"1119",0.79249999999998977,"GASEOSA REGULAR INDIVIDUAL ","7790895011559","023205A3RO"
"8352","FANTA NARANJA 375*6 PET","FANTA 375 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","FANTA","375 ML PET","REFRESCOS","NARANJA","PET","INDIVIDUAL","SSD",False,6,"1118",0.39630000000000309,"GASEOSA REGULAR INDIVIDUAL ","7790895011559","023205A3SO"
"8351","SPRITE S/A 375*12 PET         ","SPRITE SIN AZUCAR 375 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","SPRITE SIN AZUCAR","375 ML PET","REFRESCOS","LIMA LIMON","PET","INDIVIDUAL","SSD",False,12,"2016",0.79249999999999621,"GASEOSA LOW CAL INDIVIDUAL ","7790895012204","ABL7059088"
"17068","SPRITE LS 375ML NR 12PET      ","SPRITE 375 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","SPRITE","375 ML PET","REFRESCOS","LIMA LIMON","PET","INDIVIDUAL","SSD",False,12,"2315",0.79249999999997367,"GASEOSA LOW CAL INDIVIDUAL ","7790895012471","AC9D059088"
"17067","SPRITE LS 375ML NR 6PET","SPRITE 375 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","SPRITE","375 ML PET","REFRESCOS","LIMA LIMON","PET","INDIVIDUAL","SSD",False,6,"2319",0.39630000000000309,"GASEOSA LOW CAL INDIVIDUAL ","7790895012471","AC9D05A3SN"
"17002","SPRITE 375*12 PET             ","SPRITE 375 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","SPRITE","375 ML PET","REFRESCOS","LIMA LIMON","PET","INDIVIDUAL","SSD",False,12,"2015",0.79249999999999698,"GASEOSA LOW CAL INDIVIDUAL ","7790895012471","0014059088"
"7637","SPRITE 1500*8 VR              ","SPRITE 1500 ML RETORNABLE","RETORNABLE","REFRESCOS","SPRITE","1500 ML RET VIDRIO","REFRESCOS","LIMA LIMON","RET VIDRIO","FAMILIAR","SSD",False,8,"2004",2.1134000000000088,"GASEOSA REGULAR FAMILIAR RETORNABLE","7790895062964","0014051873"
"7569","FANTA NARANJA 1500*8 VR       ","FANTA 1500 ML RETORNABLE","RETORNABLE","REFRESCOS","FANTA","1500 ML RET VIDRIO","REFRESCOS","NARANJA","RET VIDRIO","FAMILIAR","SSD",False,8,"1104",2.113399999999952,"GASEOSA REGULAR FAMILIAR RETORNABLE","7790895062971","0232051873"
